x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.28,2013-05-28 00:00:00,QC,2013,5,28,6.6,,-0.2,,13.3,,0,,0,,0,,,,12,,43,,0,,11.4,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.29,2013-05-29 00:00:00,QC,2013,5,29,9.3,,-1.4,,20,,0,,0,,0,,,,20,,35,,0,,8.7,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.30,2013-05-30 00:00:00,QC,2013,5,30,12.6,,7.9,,17.2,,0,,0,,0,,,,0,,0,,0,,5.4,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.31,2013-05-31 00:00:00,QC,2013,5,31,12.2,,5.9,,18.4,,0.2,,0.2,,0,,,,32,,32,,0,,5.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.1,2013-06-01 00:00:00,QC,2013,6,1,9.5,,6.3,,12.7,,7.4,,7.4,,0,,,,0,,0,,0,,8.5,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.2,2013-06-02 00:00:00,QC,2013,6,2,6.2,,5.4,,6.9,,21.2,,21.2,,0,,,,10,,32,,0,,11.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.3,2013-06-03 00:00:00,QC,2013,6,3,12.5,,6.1,,18.9,,3.2,,3.2,,0,,,,8,,39,,0,,5.5,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.4,2013-06-04 00:00:00,QC,2013,6,4,10.2,,8.2,,12.1,,8.2,,8.2,,0,,,,27,,43,,0,,7.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.5,2013-06-05 00:00:00,QC,2013,6,5,8.7,,2.6,,14.7,,0,,0,,0,,,,27,,57,,0,,9.3,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.6,2013-06-06 00:00:00,QC,2013,6,6,8.7,,1.6,,15.8,,0,,0,,0,,,,25,,48,,0,,9.3,,,,,
